 station@hdr_integer longitude@hdr:real latitude@hdr:real elevation@hdr:real ntot@body:integer n_good_years@body:integer
202920  104.3000   77.7170   15.0000  46633 34
489140  105.1500    9.1830    2.0000  47027 34
489000  106.6520   10.8190   10.1000  49138 34
598380  108.6170   19.1000    8.0000  49051 34
594310  108.1720   22.6080  128.3000  49249 34
575160  106.6420   29.7190  416.1000  49316 34
572450  109.0330   32.7170  291.0000  49131 34
536140  106.2170   38.4830 1112.0000  49135 34
532310  106.3830   41.4500 1510.0000  49116 34
442920  106.7670   47.8430 1330.1000  48364 34
308230  107.4380   51.8080  515.1000  48831 34
964130  110.3470    1.4850   27.1000  48184 34
598550  110.4670   19.2330   25.0000  48983 34
592870  113.2990   23.3920   15.2000  49451 34
579570  110.0390   25.2180  173.7000  49273 34
570830  113.8410   34.5200  150.9000  49265 34
537720  112.6280   37.7470  784.9000  49427 34
534630  111.8240   40.8510 1083.9000  49173 34
442590  114.5500   48.0830  747.0000  48015 34
307580  113.3060   52.0260  692.5000  49065 34
243290  114.2830   66.2500  236.0000  45038 34
964810  118.1220    4.3130   17.4000  47583 34
964710  116.0510    5.9370    3.0000  48115 34
593160  116.6830   23.4000    3.0000  49346 34
588470  119.2830   26.0830   85.0000  49217 34
582380  118.8620   31.7420   14.9000  49329 34
545390  118.9000   39.4330   12.0000  49028 34
545110  116.5850   40.0800   35.4000  49328 34
506030  116.8170   48.6830  556.7000  48984 34
247380  117.6500   62.1500  133.0000  48295 34
988360  122.0600    6.9220   10.1000  47493 34
984290  121.0200   14.5090   22.9000  49303 34
983280  120.6200   16.3750 1295.7000  47019 34
479180  124.1870   24.3450   28.3000  49354 34
466860  121.2330   25.0780   32.6000  49206 34
584570  120.4320   30.2280    7.0000  49448 34
546620  121.5390   38.9660   32.6000  49416 34
544970  124.3330   40.0500   14.0000  49132 34
507450  123.9180   47.2400  145.4000  49111 34
501360  122.5330   52.9670  438.0000  48828 34
303930  124.8670   56.8330  859.0000  48184 34
246410  121.6170   63.7670  111.0000  48708 34
243430  123.4000   66.7670   92.0000  47716 34
987530  125.6460    7.1260   29.3000  46877 34
479270  125.2950   24.7830   45.7000  49356 34
479300  127.6460   26.1960    3.7000  49563 34
471680  127.7500   34.7330   67.0000  49202 34
471380  129.3830   36.0330    3.6000  49381 34
541610  125.6810   43.9960  215.2000  49256 34
509530  126.5670   45.9330  117.7000  49094 34
503530  126.6330   51.7330  175.6000  48622 34
310040  125.3670   58.6170  679.0000  48499 34
246560  129.4830   63.5170   79.0000  48185 34
943260  133.9020  -23.8070  545.3000  47825 34
914080  134.4830    7.3330   33.2000  49575 34
479450  131.2630   25.8470   50.9000  49305 34
478080  130.4510   33.5860    9.8000  49559 34
471150  130.9000   37.4830  220.0000  49269 34
319810  133.0670   43.9670  188.0000  48814 34
509780  130.9170   45.3000  273.5000  49076 34
